                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.87692,                0.53618,                0.94767,                0.96741,                0.91059,                0.96177,                0.74953,                0.79506,                 0.5799,                0.78763,              0.0013902,              0.0013902,              0.0013902
                    156,                0.87603,                0.55588,                0.94139,                0.94773,                0.93252,                0.95211,                0.75266,                  0.806,                0.64529,                0.78989,              0.0013862,              0.0013862,              0.0013862
                    157,                0.90826,                0.53927,                0.95044,                0.94938,                0.91411,                0.95042,                0.75751,                0.80242,                0.60804,                 0.7836,              0.0013822,              0.0013822,              0.0013822
                    158,                0.86438,                0.53338,                0.93686,                0.95922,                0.92638,                 0.9548,                0.77184,                0.81842,                0.58402,                0.79758,              0.0013783,              0.0013783,              0.0013783
                    159,                0.91677,                0.55247,                0.95887,                0.94283,                0.94479,                0.94657,                0.76523,                 1.0074,                0.73385,                0.92467,              0.0013743,              0.0013743,              0.0013743
                    160,                0.88051,                0.52674,                0.95542,                 0.9386,                0.93789,                0.95331,                0.76734,                0.82434,                0.83751,                 0.8121,              0.0013704,              0.0013704,              0.0013704
                    161,                0.86742,                0.52821,                0.93268,                0.96151,                0.92025,                0.95301,                 0.7626,                0.76123,                0.59137,                0.79374,              0.0013664,              0.0013664,              0.0013664
                    162,                0.83365,                0.52048,                0.93175,                0.96139,                0.91665,                0.95338,                0.76466,                 0.7791,                0.72938,                0.79133,              0.0013624,              0.0013624,              0.0013624
                    163,                0.87188,                0.53456,                0.94481,                0.96086,                0.92638,                0.95249,                 0.7515,                 0.8952,                0.98725,                 0.8215,              0.0013585,              0.0013585,              0.0013585
                    164,                0.87015,                0.53655,                0.93745,                0.96326,                0.90184,                0.94531,                0.73514,                0.92959,                 1.0815,                0.87607,              0.0013545,              0.0013545,              0.0013545
                    165,                0.88042,                0.53237,                0.94079,                0.96727,                0.90654,                 0.9511,                0.75144,                0.80541,                 0.8564,                0.80424,              0.0013506,              0.0013506,              0.0013506
                    166,                0.83955,                0.51656,                0.93376,                0.94724,                0.92638,                 0.9443,                0.74719,                0.90901,                 1.0219,                0.84431,              0.0013466,              0.0013466,              0.0013466
                    167,                0.82098,                0.50186,                0.94232,                0.93795,                0.93252,                0.95599,                0.75683,                0.87695,                0.86686,                0.81482,              0.0013426,              0.0013426,              0.0013426
                    168,                0.84812,                0.49443,                0.93199,                 0.9492,                0.91708,                0.94673,                0.75901,                0.90284,                0.74523,                0.84421,              0.0013387,              0.0013387,              0.0013387
                    169,                0.87432,                0.51416,                0.93893,                0.95623,                0.93828,                0.94599,                0.75453,                0.85354,                0.79849,                0.81168,              0.0013347,              0.0013347,              0.0013347
                    170,                0.86508,                0.52916,                0.93031,                0.95624,                0.93851,                0.93939,                0.75107,                0.80951,                0.76568,                0.80271,              0.0013308,              0.0013308,              0.0013308
                    171,                0.84844,                0.49446,                0.93243,                0.95049,                0.92638,                0.94603,                0.75933,                0.87827,                0.76841,                0.83444,              0.0013268,              0.0013268,              0.0013268
                    172,                0.84404,                0.51974,                0.92054,                0.95285,                0.92025,                0.95235,                0.75244,                0.84999,                0.71235,                0.82071,              0.0013228,              0.0013228,              0.0013228
                    173,                0.86001,                0.51673,                0.91747,                0.94279,                0.92638,                0.93477,                 0.7449,                0.86927,                 0.6319,                0.87746,              0.0013189,              0.0013189,              0.0013189
                    174,                0.88022,                0.53409,                0.94287,                 0.9396,                0.95706,                0.95928,                 0.7668,                0.79177,                0.57982,                0.80977,              0.0013149,              0.0013149,              0.0013149
                    175,                0.86389,                0.52152,                0.92635,                0.94231,                0.92025,                0.94547,                0.76106,                  0.774,                 0.6334,                  0.806,               0.001311,               0.001311,               0.001311
                    176,                0.86672,                0.51437,                0.93084,                 0.9495,                0.93252,                0.94779,                0.75296,                0.80739,                 0.6262,                0.80701,               0.001307,               0.001307,               0.001307
                    177,                0.84321,                0.51139,                0.92936,                   0.95,                0.93865,                0.94409,                  0.766,                0.71889,                0.64368,                0.80418,               0.001303,               0.001303,               0.001303
                    178,                0.85404,                 0.5168,                0.92987,                0.95072,                0.94693,                0.95441,                0.76755,                0.74468,                0.73328,                0.77637,              0.0012991,              0.0012991,              0.0012991
                    179,                0.85186,                0.51998,                0.93265,                0.95435,                0.92638,                0.94674,                0.75733,                0.81869,                0.59732,                0.85486,              0.0012951,              0.0012951,              0.0012951
                    180,                0.83908,                0.50201,                0.91544,                0.94475,                 0.9442,                0.94764,                0.76076,                0.70504,                0.57732,                0.76594,              0.0012912,              0.0012912,              0.0012912
                    181,                0.85779,                0.54468,                0.93232,                0.95975,                0.92638,                0.94823,                0.77267,                0.72076,                0.55174,                0.77263,              0.0012872,              0.0012872,              0.0012872
                    182,                0.83624,                0.51448,                 0.9188,                0.95597,                0.93246,                0.96105,                0.76334,                0.79375,                0.57335,                0.78463,              0.0012832,              0.0012832,              0.0012832
                    183,                0.85953,                0.52551,                0.93798,                 0.9678,                0.92025,                0.95706,                0.76959,                0.81103,                0.66412,                0.80784,              0.0012793,              0.0012793,              0.0012793
                    184,                0.82176,                0.49489,                0.92572,                0.96772,                0.92638,                0.95517,                0.76188,                0.82161,                0.73186,                0.81178,              0.0012753,              0.0012753,              0.0012753
                    185,                0.82308,                 0.5085,                0.92641,                0.94407,                0.94479,                0.95682,                0.77467,                0.80497,                0.82088,                  0.804,              0.0012714,              0.0012714,              0.0012714
                    186,                0.81923,                0.50194,                0.91895,                0.96169,                0.92406,                0.95381,                0.76569,                0.74321,                0.70311,                0.77032,              0.0012674,              0.0012674,              0.0012674
                    187,                0.85191,                0.50083,                0.92627,                0.96574,                0.93252,                0.95483,                0.77207,                0.75316,                0.81885,                0.77212,              0.0012634,              0.0012634,              0.0012634
                    188,                 0.8064,                0.48897,                0.92245,                 0.9489,                0.95092,                 0.9507,                0.76341,                0.82276,                0.85665,                0.81154,              0.0012595,              0.0012595,              0.0012595
                    189,                0.82229,                 0.5092,                0.94072,                0.96359,                0.91411,                0.96306,                0.76666,                0.72447,                0.73986,                0.77788,              0.0012555,              0.0012555,              0.0012555
                    190,                0.85495,                0.50578,                0.93015,                0.96625,                0.91411,                0.95722,                0.75833,                0.83759,                0.97007,                 0.7954,              0.0012516,              0.0012516,              0.0012516
                    191,                0.82708,                 0.4942,                0.92679,                0.95551,                0.90798,                0.94454,                 0.7542,                 0.7748,                0.96432,                 0.7901,              0.0012476,              0.0012476,              0.0012476
                    192,                0.80139,                0.48838,                0.90961,                0.95804,                0.93252,                0.95487,                0.75577,                0.76388,                0.89166,                0.78217,              0.0012436,              0.0012436,              0.0012436
                    193,                0.85199,                0.51263,                0.92407,                0.96246,                0.93252,                0.95587,                0.75502,                0.75614,                0.82804,                 0.7969,              0.0012397,              0.0012397,              0.0012397
                    194,                 0.8121,                0.47136,                0.91597,                0.96005,                0.93252,                0.95133,                0.75587,                0.83302,                0.79787,                0.80996,              0.0012357,              0.0012357,              0.0012357
